Source	Value
9/15/2018 9:00:23 AM	11.08
9/15/2018 10:00:12 AM	9.03
9/15/2018 10:00:29 AM	8.26
9/15/2018 11:00:08 AM	7.83
9/15/2018 11:00:26 AM	11.66
9/15/2018 12:00:19 PM	5.42
9/15/2018 12:00:38 PM	14.82
9/15/2018 1:00:15 PM	12.27
9/15/2018 1:00:29 PM	3.11
9/15/2018 2:00:04 PM	4.15
9/15/2018 2:00:36 PM	7.62
9/15/2018 3:00:11 PM	15.60
9/15/2018 4:00:09 PM	5.35
9/15/2018 4:00:20 PM	12.34
9/15/2018 5:00:01 PM	7.23
9/15/2018 5:00:07 PM	3.06
9/15/2018 6:00:09 PM	5.66
9/15/2018 6:00:11 PM	4.15
9/15/2018 7:00:18 PM	4.46
9/15/2018 7:00:21 PM	15.62
9/15/2018 8:00:10 PM	4.19
9/15/2018 8:00:16 PM	12.34
9/15/2018 9:00:05 PM	5.03
9/15/2018 9:00:08 PM	7.22
9/15/2018 10:00:12 PM	4.17
9/15/2018 10:00:19 PM	5.65
9/15/2018 11:00:16 PM	4.46
9/15/2018 11:00:19 PM	3.55
9/15/2018 11:00:20 PM	3.54
9/16/2018 12:00:27 AM	4.18
9/16/2018 12:00:28 AM	3.20
9/16/2018 1:00:07 AM	5.03
9/16/2018 1:00:35 AM	4.09
9/16/2018 2:00:04 AM	4.17
9/16/2018 2:00:42 AM	4.62
9/16/2018 3:00:02 AM	3.57
9/16/2018 3:00:49 AM	3.72
9/16/2018 4:00:08 AM	3.18
9/16/2018 4:00:37 AM	3.66
9/16/2018 5:00:03 AM	7.31
9/16/2018 5:00:09 AM	4.07
9/16/2018 6:00:13 AM	11.16
9/16/2018 6:00:36 AM	4.65
9/16/2018 7:00:19 AM	3.67
9/16/2018 7:00:24 AM	13.38
9/16/2018 8:00:30 AM	3.14
9/16/2018 8:00:35 AM	15.66
9/16/2018 9:00:02 AM	14.14
9/16/2018 9:00:19 AM	6.66
9/16/2018 10:00:07 AM	8.01
9/16/2018 10:00:19 AM	11.22
9/16/2018 11:00:07 AM	32.04
9/16/2018 11:00:27 AM	12.90
9/16/2018 12:00:09 PM	13.21
9/16/2018 12:00:19 PM	8.68
9/16/2018 1:00:05 PM	13.01
9/16/2018 1:00:28 PM	7.54
9/16/2018 2:00:03 PM	6.41
9/16/2018 2:00:04 PM	9.20
9/16/2018 3:00:12 PM	17.36
9/16/2018 3:00:31 PM	16.16
9/16/2018 4:00:07 PM	8.66
9/16/2018 4:00:23 PM	24.78
9/16/2018 5:00:02 PM	24.18
9/16/2018 5:00:36 PM	6.93
9/16/2018 6:00:11 PM	5.89
9/16/2018 6:00:12 PM	6.14
9/16/2018 7:00:11 PM	15.19
9/16/2018 7:00:22 PM	4.81
9/16/2018 8:00:02 PM	4.71
9/16/2018 8:00:03 PM	14.63
9/16/2018 9:00:19 PM	12.05
9/16/2018 9:00:40 PM	5.19
9/16/2018 10:00:10 PM	3.86
9/16/2018 10:00:50 PM	5.09
9/16/2018 10:00:51 PM	5.85
9/16/2018 11:00:00 PM	4.81
9/16/2018 11:00:19 PM	3.42
9/16/2018 11:00:20 PM	3.78
9/17/2018 12:00:02 AM	4.25
9/17/2018 12:00:46 AM	4.71
9/17/2018 1:00:09 AM	3.79
9/17/2018 1:00:27 AM	5.18
9/17/2018 2:00:16 AM	5.50
9/17/2018 2:00:30 AM	3.86
9/17/2018 3:00:17 AM	3.78
9/17/2018 3:00:26 AM	11.19
9/17/2018 4:00:10 AM	3.32
9/17/2018 4:00:11 AM	4.24
9/17/2018 4:00:12 AM	6.46
9/17/2018 5:00:19 AM	3.81
9/17/2018 5:00:20 AM	6.19
9/17/2018 6:00:28 AM	6.05
9/17/2018 6:00:44 AM	5.45
9/17/2018 7:00:06 AM	11.19
9/17/2018 7:00:07 AM	10.39
9/17/2018 8:00:18 AM	15.19
9/17/2018 8:00:23 AM	6.45
9/17/2018 9:00:06 AM	14.53
9/17/2018 9:00:18 AM	6.19
9/17/2018 10:00:07 AM	6.08
9/17/2018 10:00:18 AM	8.55
9/17/2018 11:00:06 AM	10.38
9/17/2018 11:00:31 AM	7.28
9/17/2018 12:00:03 PM	6.46
9/17/2018 12:00:38 PM	15.23
9/17/2018 1:00:07 PM	14.52
9/17/2018 1:00:11 PM	12.40
9/17/2018 2:00:00 PM	15.59
9/17/2018 2:00:25 PM	8.54
9/17/2018 3:00:09 PM	10.10
9/17/2018 3:00:36 PM	7.29
9/17/2018 4:00:18 PM	5.96
9/17/2018 4:00:25 PM	6.45
9/17/2018 5:00:23 PM	12.43
9/17/2018 5:00:27 PM	6.68
9/17/2018 6:00:09 PM	15.58
9/17/2018 6:00:35 PM	4.88
9/17/2018 7:00:10 PM	4.96
9/17/2018 7:00:31 PM	10.07
9/17/2018 8:00:17 PM	5.97
9/17/2018 8:00:46 PM	4.06
9/17/2018 9:00:01 PM	22.82
9/17/2018 9:00:09 PM	4.78
9/17/2018 10:00:04 PM	4.94
9/17/2018 10:00:05 PM	14.91
9/17/2018 10:00:06 PM	2.87
9/17/2018 11:00:05 PM	4.95
9/17/2018 11:00:15 PM	2.96
9/18/2018 12:00:23 AM	3.41
9/18/2018 12:00:57 AM	4.02
9/18/2018 1:00:29 AM	9.52
9/18/2018 1:00:30 AM	3.24
9/18/2018 2:00:09 AM	6.59
9/18/2018 2:00:37 AM	6.59
9/18/2018 3:00:36 AM	2.93
9/18/2018 3:00:46 AM	8.69
9/18/2018 4:00:01 AM	7.22
9/18/2018 4:00:12 AM	3.42
9/18/2018 5:00:09 AM	6.77
9/18/2018 5:00:23 AM	3.20
9/18/2018 6:00:12 AM	6.61
9/18/2018 6:00:19 AM	6.43
9/18/2018 7:00:03 AM	8.68
9/18/2018 7:00:29 AM	11.16
9/18/2018 8:00:28 AM	7.22
9/18/2018 8:00:41 AM	14.76
9/18/2018 9:00:07 AM	15.00
9/18/2018 9:00:44 AM	6.74
9/18/2018 10:00:07 AM	9.56
9/18/2018 10:00:24 AM	6.45
9/18/2018 11:00:03 AM	11.12
9/18/2018 11:00:22 AM	7.24
9/18/2018 12:00:20 PM	14.74
9/18/2018 12:00:34 PM	6.61
9/18/2018 1:00:42 PM	3.80
9/18/2018 1:00:57 PM	15.02
9/18/2018 2:00:29 PM	9.52
9/18/2018 2:00:50 PM	5.34
9/18/2018 3:00:05 PM	18.42
9/18/2018 3:00:38 PM	7.23
9/18/2018 4:00:10 PM	10.81
9/18/2018 4:00:32 PM	6.61
9/18/2018 5:00:20 PM	6.91
9/18/2018 5:00:34 PM	3.81
9/18/2018 6:00:20 PM	5.33
9/18/2018 6:00:31 PM	11.21
9/18/2018 7:00:06 PM	18.41
9/18/2018 7:00:41 PM	4.43
9/18/2018 8:00:25 PM	10.82
9/18/2018 8:00:48 PM	3.57
9/18/2018 9:00:02 PM	5.32
9/18/2018 9:00:27 PM	14.26
9/18/2018 10:00:03 PM	3.11
9/18/2018 10:00:22 PM	6.13
9/18/2018 11:00:10 PM	5.63
9/18/2018 11:00:49 PM	4.13
9/19/2018 12:00:17 AM	5.91
9/19/2018 12:00:22 AM	3.55
9/19/2018 1:00:03 AM	10.19
9/19/2018 1:00:12 AM	6.98
9/19/2018 2:00:13 AM	6.45
9/19/2018 2:00:21 AM	3.11
9/19/2018 3:00:24 AM	11.82
9/19/2018 3:00:50 AM	5.29
9/19/2018 4:00:20 AM	4.06
9/19/2018 4:00:40 AM	7.19
9/19/2018 5:00:01 AM	6.89
9/19/2018 5:00:18 AM	5.04
9/19/2018 6:00:10 AM	5.75
9/19/2018 6:00:13 AM	6.52
9/19/2018 7:00:09 AM	9.00
9/19/2018 7:00:10 AM	12.05
9/19/2018 7:00:41 AM	11.80
9/19/2018 8:00:03 AM	7.22
9/19/2018 8:00:24 AM	15.52
9/19/2018 9:00:19 AM	6.88
9/19/2018 9:00:37 AM	11.97
9/19/2018 10:00:15 AM	5.76
9/19/2018 10:00:49 AM	6.81
9/19/2018 11:00:00 AM	6.09
9/19/2018 11:00:01 AM	12.03
9/19/2018 12:00:10 PM	5.47
9/19/2018 12:00:28 PM	15.53
9/19/2018 1:00:19 PM	4.81
9/19/2018 1:00:22 PM	11.99
9/19/2018 2:00:28 PM	5.10
9/19/2018 2:00:33 PM	6.82
9/19/2018 3:00:23 PM	6.09
9/19/2018 3:00:35 PM	17.18
9/19/2018 4:00:29 PM	5.46
9/19/2018 4:00:44 PM	12.15
9/19/2018 5:00:15 PM	4.77
9/19/2018 5:00:53 PM	10.15
9/19/2018 6:00:01 PM	7.09
9/19/2018 6:00:04 PM	5.12
9/19/2018 7:00:05 PM	17.10
9/19/2018 7:00:08 PM	2.62
9/19/2018 7:00:09 PM	4.31
9/19/2018 8:00:16 PM	7.94
9/19/2018 8:00:39 PM	12.16
