INSTNAME       ,DB_ID     ,HOSTNAME                      ,        ID,TM               ,      INST,       DUR,       CPU,   LOADAVG,   AAS_CPU,RSRCMGRPCT,  OSCPUPCT,  OSCPUSYS,   OSCPUIO
tesprrn1       ,3956548928,example.com          ,     21791,10/08/18 17:00:26,         1,      60.1,        28,     25.19,11.0296589,         0,39.3916389,6.30514618,.012360352
tesprrn1       ,3956548928,example.com          ,     21583,09/30/18 01:00:30,         1,     60.08,        28,      7.02,4.15218585,.000029721,14.8292055,3.47907668,.023816128
tesprrn1       ,3956548928,example.com          ,     21598,09/30/18 16:00:15,         1,      60.1,        28,      7.56,4.73833333,         0, 16.922619,2.96743523,.024027415
tesprrn1       ,3956548928,example.com          ,     21604,09/30/18 22:00:29,         1,      60.1,        28,      7.12,4.46487243,         0, 15.945973,3.55717653,.020719436
tesprrn1       ,3956548928,example.com          ,     21633,10/02/18 03:00:26,         1,     60.08,        28,       7.6,2.93216644,         0, 10.472023,3.25280365,.031375074
tesprrn1       ,3956548928,example.com          ,     21712,10/05/18 10:00:32,         1,      60.1,        28,     13.16,9.18355519,         0,32.7984114,3.70479756,.019511132
tesprrn1       ,3956548928,example.com          ,     21731,10/06/18 05:00:25,         1,     59.58,        28,      5.37,4.67135105,         0,16.6833966,2.68023976,.021948052
tesprrn1       ,3956548928,example.com          ,     21780,10/08/18 06:00:23,         1,      60.1,        28,        11,5.78092901,         0, 20.646175,3.92889826,.020937327
tesprrn1       ,3956548928,example.com          ,     21664,10/03/18 10:00:38,         1,      60.1,        28,      7.48,6.21614809,         0,22.2005289,4.10227003,.035209175
tesprrn1       ,3956548928,example.com          ,     21665,10/03/18 11:00:44,         1,     60.12,        28,     16.08,11.0350735,         0,39.4109767,6.00020793,.024317795
tesprrn1       ,3956548928,example.com          ,     21716,10/05/18 14:00:15,         1,     59.82,        28,     14.49,14.7464531,         0,52.6659038, 7.8178661, .02218087
tesprrn1       ,3956548928,example.com          ,     21615,10/01/18 09:00:31,         1,     60.13,        28,     10.16,6.96322339,         0, 24.868655, 3.9091899,.023816123
tesprrn1       ,3956548928,example.com          ,     21616,10/01/18 10:00:39,         1,     59.37,        28,      6.56, 4.7043571,         0,16.8012754,2.99920791,.016593808
tesprrn1       ,3956548928,example.com          ,     21644,10/02/18 14:00:33,         1,     60.12,        28,      9.78,9.28076518,         0,33.1455899,5.74192047, .01926809
tesprrn1       ,3956548928,example.com          ,     21645,10/02/18 15:00:40,         1,      60.1,        28,      6.87,6.77105935,         0,24.1823548,4.66036764,.036476904
tesprrn1       ,3956548928,example.com          ,     21663,10/03/18 09:00:32,         1,      60.1,        28,     11.46,7.45843317,         0,26.6372613,4.31434712,.018055225
tesprrn1       ,3956548928,example.com          ,     21671,10/03/18 17:00:26,         1,      60.1,        28,        11,8.98673322,         0,32.0954758,6.52107598,.016341811
tesprrn1       ,3956548928,example.com          ,     21674,10/03/18 20:00:45,         1,     60.12,        28,     15.39,10.7517161,         0,38.3989861,8.00603984,.014525328
tesprrn1       ,3956548928,example.com          ,     21676,10/03/18 22:00:01,         1,     60.05,        28,      8.65,6.42466001,         0,22.9452143,6.05171286,.021182745
tesprrn1       ,3956548928,example.com          ,     21740,10/06/18 14:00:24,         1,     60.12,        28,      8.28,5.92629886,9.9014E-06,21.1653432,4.74241554,.027238703
tesprrn1       ,3956548928,example.com          ,     21742,10/06/18 16:00:03,         1,      60.1,        28,      5.51,4.11018303,9.9041E-06,14.6792152,3.57673718,.016401236
tesprrn1       ,3956548928,example.com          ,     21700,10/04/18 22:00:26,         1,     60.08,        28,      7.52,5.86931484,         0,20.9618387,4.66315633,.017545076
tesprrn1       ,3956548928,example.com          ,     21709,10/05/18 07:00:16,         1,     60.08,        28,      8.59, 9.2588932,         0,33.0674757,5.23462453,.019883099
tesprrn1       ,3956548928,example.com          ,     21755,10/07/18 05:00:01,         1,      60.1,        28,      4.52,2.73806711,         0,9.77881111,2.66503249, .02226448
tesprrn1       ,3956548928,example.com          ,     21756,10/07/18 06:00:07,         1,      60.1,        28,      7.74,6.85329728,         0,24.4760617,4.82176531,.017966088
tesprrn1       ,3956548928,example.com          ,     21757,10/07/18 07:00:13,         1,      60.1,        28,      7.41,9.38119246,         0,33.5042588,5.03487243,.016995484
tesprrn1       ,3956548928,example.com          ,     21605,09/30/18 23:00:35,         1,     59.45,        28,      7.69,5.90289319,.000010012,21.0817514,3.32140855,.025021026
tesprrn1       ,3956548928,example.com          ,     21625,10/01/18 19:00:41,         1,      60.1,        28,      9.15,11.2642124,         0,40.2293301,7.38143768,.011320418
tesprrn1       ,3956548928,example.com          ,     21717,10/05/18 15:00:04,         1,     60.12,        28,     13.37,11.6974494,         0, 41.776605,7.08499347,.016584815
tesprrn1       ,3956548928,example.com          ,     21738,10/06/18 12:00:09,         1,     60.12,        28,     16.07, 13.664433,         0,48.8015466,6.26204008,.020911719
tesprrn1       ,3956548928,example.com          ,     21758,10/07/18 08:00:19,         1,     60.08,        28,       6.4,3.80856033,         0,13.6020012,3.24491777, .02070537
tesprrn1       ,3956548928,example.com          ,     21759,10/07/18 09:00:24,         1,      60.1,        28,      7.44,2.89257072,         0,10.3306097, 2.8793083,.029801521
tesprrn1       ,3956548928,example.com          ,     21762,10/07/18 12:00:41,         1,      60.1,        28,     19.87,11.0819551,         0, 39.578411,5.29301363,.018718802
tesprrn1       ,3956548928,example.com          ,     21773,10/07/18 23:00:44,         1,     59.37,        28,      7.28,5.03611454,.000020053,17.9861033,4.99366327,.021085666
tesprrn1       ,3956548928,example.com          ,     21737,10/06/18 11:00:02,         1,     60.12,        28,     12.63,13.4491267,9.9014E-06,48.0325854, 5.8345281,.018683908
tesprrn1       ,3956548928,example.com          ,     21777,10/08/18 03:00:07,         1,     60.08,        28,      4.06,2.34714286,         0,8.38265306, 2.6858728, .02358827
tesprrn1       ,3956548928,example.com          ,     21781,10/08/18 07:00:29,         1,      60.1,        28,      9.06,9.90874931,         0,35.3883904,4.44148641,.016351715
tesprrn1       ,3956548928,example.com          ,     21589,09/30/18 07:00:01,         1,      60.1,        28,       5.4,5.64714642,         0,20.1683801,3.89114373,.016539894
tesprrn1       ,3956548928,example.com          ,     21596,09/30/18 14:00:04,         1,      60.1,        28,     10.46,9.02198003,         0,32.2213573,4.65768362,.021531574
tesprrn1       ,3956548928,example.com          ,     21602,09/30/18 20:00:17,         1,     60.12,        28,     10.58,11.4340671,         0,40.8359539,7.06918096,.016495703
tesprrn1       ,3956548928,example.com          ,     21628,10/01/18 22:00:12,         1,     59.87,        28,      4.63,3.18657851,         0,11.3806375,3.32658885,.024449173
tesprrn1       ,3956548928,example.com          ,     21673,10/03/18 19:00:38,         1,     60.12,        28,     13.98,12.7714111,         0,45.6121827, 9.0659036,.016396689
tesprrn1       ,3956548928,example.com          ,     21675,10/03/18 21:00:52,         1,     59.15,        28,      7.28,8.28494505,         0,29.5890895,6.82272672,.013726201
tesprrn1       ,3956548928,example.com          ,     21697,10/04/18 19:00:10,         1,     60.08,        28,      8.82,11.0530097,         0,39.4750347,8.87140876,.012958193
tesprrn1       ,3956548928,example.com          ,     21721,10/05/18 19:00:28,         1,     60.12,        28,     35.11,20.4787829,         0,73.1385104,12.9831478,.010416254
tesprrn1       ,3956548928,example.com          ,     21722,10/05/18 20:00:35,         1,     59.43,        28,     43.19,22.7585502,         0,81.2805364,15.9846366, .00786195
tesprrn1       ,3956548928,example.com          ,     21723,10/05/18 21:00:01,         1,     60.15,        28,     48.09,  23.69046,         0,84.6087856,16.4025452,.008886514
tesprrn1       ,3956548928,example.com          ,     21638,10/02/18 08:00:10,         1,      60.1,        28,     12.46,5.71482252,         0,20.4100804,4.03610055,.021789082
tesprrn1       ,3956548928,example.com          ,     21725,10/05/18 23:00:18,         1,     60.12,        28,     48.23,19.9392404,9.9014E-06,71.2115628,14.8679255,.009861777
tesprrn1       ,3956548928,example.com          ,     21727,10/06/18 01:00:04,         1,      60.1,        28,     38.58,19.5231864,.000019808,69.7256457,13.4630972,.009567388
tesprrn1       ,3956548928,example.com          ,     21747,10/06/18 21:00:14,         1,     60.12,        28,      4.07,2.37990019,9.9014E-06,8.49963365,2.88972831,.023525684
tesprrn1       ,3956548928,example.com          ,     21749,10/06/18 23:00:27,         1,     60.08,        28,       4.9,2.24675451,9.9069E-06,8.02411333,2.75299188,.019793937
tesprrn1       ,3956548928,example.com          ,     21751,10/07/18 01:00:38,         1,      60.1,        28,      4.11,2.12495563,9.9041E-06,7.58911734,2.60082402,.024007606
tesprrn1       ,3956548928,example.com          ,     21783,10/08/18 09:00:40,         1,     59.37,        28,      9.75,5.80342785,         0, 20.726528, 3.7409461,.039624609
tesprrn1       ,3956548928,example.com          ,     21789,10/08/18 15:00:16,         1,     60.08,        28,      9.85,8.20279612,         0,29.2957004,4.93218744,.015207054
tesprrn1       ,3956548928,example.com          ,     21792,10/08/18 18:00:32,         1,      59.5,        28,     20.04,18.6309496,         0,66.5391056,9.78552421,.008033213
tesprrn1       ,3956548928,example.com          ,     21586,09/30/18 04:00:07,         1,     60.08,        28,      7.38,2.82997226,         0,10.1070438,2.62980979,.051228453
tesprrn1       ,3956548928,example.com          ,     21679,10/04/18 01:00:16,         1,      60.1,        28,     11.69,6.90313921,9.9041E-06,24.6540587,7.19778544,.022937961
tesprrn1       ,3956548928,example.com          ,     21688,10/04/18 10:00:11,         1,     60.12,        28,      9.13,6.73618797,         0,24.0578142,4.83325082,.036684621
tesprrn1       ,3956548928,example.com          ,     21694,10/04/18 16:00:51,         1,      60.1,        28,     12.44,10.3085496,         0,36.8162487,5.72824063,.018461295
tesprrn1       ,3956548928,example.com          ,     21695,10/04/18 17:00:57,         1,      59.1,        28,     17.84,10.5081472,         0,37.5290972,6.44592499,.018139151
tesprrn1       ,3956548928,example.com          ,     21696,10/04/18 18:00:03,         1,     60.12,        28,     13.79, 12.812254,         0,45.7580498,9.80110103,.011129154
tesprrn1       ,3956548928,example.com          ,     21699,10/04/18 21:00:21,         1,     60.08,        28,      9.97,7.82109015,         0,27.9324648,4.88806222,.019457103
tesprrn1       ,3956548928,example.com          ,     21706,10/05/18 04:00:09,         1,     59.92,        28,        25,19.6823255,         0,70.2940195,4.73062786,.035436122
tesprrn1       ,3956548928,example.com          ,     21707,10/05/18 05:00:04,         1,      60.1,        28,     10.57,9.00432612,         0,32.1583076,5.12996197,.017252991
tesprrn1       ,3956548928,example.com          ,     21718,10/05/18 16:00:11,         1,      60.1,        28,     14.74,9.42185801,         0,33.6494929,6.25747762,.017718485
tesprrn1       ,3956548928,example.com          ,     21739,10/06/18 13:00:16,         1,     60.13,        28,     14.62,10.7948753,9.8986E-06,38.5531161,6.01833228,.021410754
tesprrn1       ,3956548928,example.com          ,     21741,10/06/18 15:00:31,         1,     59.53,        28,      7.74,7.03350224,9.9984E-06,25.1196409, 4.8268677, .02818549
tesprrn1       ,3956548928,example.com          ,     21744,10/06/18 18:00:14,         1,      60.1,        28,     14.34,7.64589296,9.9041E-06,27.3067507,5.53865581,.024483005
tesprrn1       ,3956548928,example.com          ,     21774,10/08/18 00:00:06,         1,      60.1,        28,      8.77,7.20523017,         0,25.7329649,7.32369662,.021779178
tesprrn1       ,3956548928,example.com          ,     21611,10/01/18 05:00:07,         1,     60.08,        28,      7.11,2.87884327,         0,10.2815831,2.56450367,.021289875
tesprrn1       ,3956548928,example.com          ,     21617,10/01/18 11:00:01,         1,      60.1,        28,     10.89,9.33486412,         0,33.3388004,4.98500515,.021234451
tesprrn1       ,3956548928,example.com          ,     21619,10/01/18 13:00:14,         1,     59.87,        28,     16.16,13.2449248,         0, 47.303303,6.92030902,.015490773
tesprrn1       ,3956548928,example.com          ,     21626,10/01/18 20:00:47,         1,     59.32,        28,     10.75, 8.3343692,         0,29.7656043,6.22828443,.014440252
tesprrn1       ,3956548928,example.com          ,     21630,10/02/18 00:00:09,         1,      60.1,        28,      5.43,3.18453688,         0, 11.373346,3.19000079,.023571825
tesprrn1       ,3956548928,example.com          ,     21666,10/03/18 12:00:51,         1,     59.23,        28,     20.23,13.7701998,         0,49.1792849,7.18535453,.016440228
tesprrn1       ,3956548928,example.com          ,     21691,10/04/18 13:00:32,         1,      60.1,        28,     13.47,9.98809762,         0,35.6717772,6.04132993,.018708898
